Make,Colour,Memory(kb),Sim Cards,Price
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Nokia,White,150043,4,$400.00 
Ssamsung,Red,87899,4,$500.00 
Nokia,Blue,32549,3,$700.00 
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Ssamsung,Blue,54738,4,$700.00 
Nokia,White,60000,4,$625.00 
Motorolla,White,31600,4,$970.00 
Nokia,White,150043,4,$400.00 
Ssamsung,Red,87899,4,$500.00 
Nokia,Blue,32549,3,$700.00 
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Ssamsung,Blue,54738,4,$700.00 
Nokia,White,60000,4,$625.00 
Motorolla,White,31600,4,$970.00 
Nokia,White,150043,4,$400.00 
Ssamsung,Red,87899,4,$500.00 
Nokia,Blue,32549,3,$700.00 
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Ssamsung,Blue,54738,4,$700.00 
Nokia,White,60000,4,$625.00 
Motorolla,White,31600,4,$970.00 
Nokia,White,150043,4,$400.00 
Ssamsung,Red,87899,4,$500.00 
Nokia,Blue,32549,3,$700.00 
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Ssamsung,Blue,54738,4,$700.00 
Nokia,White,60000,4,$625.00 
Motorolla,White,31600,4,$970.00 
Nokia,White,150043,4,$400.00 
Ssamsung,Red,87899,4,$500.00 
Nokia,Blue,32549,3,$700.00 
Nokia,White,150043,4,$400.00 
Ssamsung,Red,87899,4,$500.00 
Nokia,Blue,32549,3,$700.00 
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Ssamsung,Blue,54738,4,$700.00 
Nokia,White,60000,4,$625.00 
Motorolla,White,31600,4,$970.00 
Nokia,White,150043,4,$400.00 
Ssamsung,Red,87899,4,$500.00 
Nokia,Blue,32549,3,$700.00 
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Ssamsung,Blue,54738,4,$700.00 
Nokia,White,60000,4,$625.00 
Motorolla,White,31600,4,$970.00 
Nokia,White,150043,4,$400.00 
Ssamsung,Red,87899,4,$500.00 
Nokia,Blue,32549,3,$700.00 
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Ssamsung,Blue,54738,4,$700.00 
Nokia,White,60000,4,$625.00 
Motorolla,White,31600,4,$970.00 
Nokia,White,150043,4,$400.00 
Ssamsung,Red,87899,4,$500.00 
Nokia,Blue,32549,3,$700.00 
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Ssamsung,Blue,54738,4,$700.00 
Nokia,White,60000,4,$625.00 
Motorolla,White,31600,4,$970.00 
Nokia,White,150043,4,$400.00 
Ssamsung,Red,87899,4,$500.00 
Nokia,Blue,32549,3,$700.00 
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Ssamsung,Blue,54738,4,$700.00 
Nokia,White,60000,4,$625.00 
Motorolla,White,31600,4,$970.00 
Nokia,White,150043,4,$400.00 
Ssamsung,Red,87899,4,$500.00 
Nokia,Blue,32549,3,$700.00 
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Ssamsung,Blue,54738,4,$700.00 
Nokia,White,60000,4,$625.00 
Motorolla,White,31600,4,$970.00 
Nokia,White,150043,4,$400.00 
Ssamsung,Red,87899,4,$500.00 
Nokia,Blue,32549,3,$700.00 
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Ssamsung,Blue,54738,4,$700.00 
Nokia,White,60000,4,$625.00 
Motorolla,White,31600,4,$970.00 
Nokia,White,150043,4,$400.00 
Ssamsung,Red,87899,4,$500.00 
Nokia,Blue,32549,3,$700.00 
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Ssamsung,Blue,54738,4,$700.00 
Nokia,White,60000,4,$625.00 
Motorolla,White,31600,4,$970.00 
Nokia,White,150043,4,$400.00 
Ssamsung,Red,87899,4,$500.00 
Nokia,Blue,32549,3,$700.00 
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Ssamsung,Blue,54738,4,$700.00 
Nokia,White,60000,4,$625.00 
Motorolla,White,31600,4,$970.00 
Nokia,White,150043,4,$400.00 
Ssamsung,Red,87899,4,$500.00 
Nokia,Blue,32549,3,$700.00 
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Ssamsung,Blue,54738,4,$700.00 
Nokia,White,60000,4,$625.00 
Motorolla,White,31600,4,$970.00 
Nokia,White,150043,4,$400.00 
Ssamsung,Red,87899,4,$500.00 
Nokia,Blue,32549,3,$700.00 
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Ssamsung,Blue,54738,4,$700.00 
Nokia,White,60000,4,$625.00 
Motorolla,White,31600,4,$970.00 
Nokia,White,150043,4,$400.00 
Ssamsung,Red,87899,4,$500.00 
Nokia,Blue,32549,3,$700.00 
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Ssamsung,Blue,54738,4,$700.00 
Nokia,White,60000,4,$625.00 
Motorolla,White,31600,4,$970.00 
Nokia,White,150043,4,$400.00 
Ssamsung,Red,87899,4,$500.00 
Nokia,Blue,32549,3,$700.00 
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Ssamsung,Blue,54738,4,$700.00 
Nokia,White,60000,4,$625.00 
Motorolla,White,31600,4,$970.00 
Nokia,White,150043,4,$400.00 
Ssamsung,Red,87899,4,$500.00 
Nokia,Blue,32549,3,$700.00 
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Ssamsung,Blue,54738,4,$700.00 
Nokia,White,60000,4,$625.00 
Motorolla,White,31600,4,$970.00 
Nokia,White,150043,4,$400.00 
Ssamsung,Red,87899,4,$500.00 
Nokia,Blue,32549,3,$700.00 
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Ssamsung,Blue,54738,4,$700.00 
Nokia,White,60000,4,$625.00 
Motorolla,White,31600,4,$970.00 
Nokia,White,150043,4,$400.00 
Ssamsung,Red,87899,4,$500.00 
Nokia,Blue,32549,3,$700.00 
Iphone,Black,11179,5,$220.00 
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Ssamsung,Blue,54738,4,$700.00 
Nokia,White,60000,4,$625.00 
Motorolla,White,31600,4,$970.00 
Nokia,White,150043,4,$400.00 
Ssamsung,Red,87899,4,$500.00 
Nokia,Blue,32549,3,$700.00 
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Ssamsung,Blue,54738,4,$700.00 
Nokia,White,60000,4,$625.00 
Motorolla,White,31600,4,$970.00 
Nokia,White,150043,4,$400.00 
Ssamsung,Red,87899,4,$500.00 
Nokia,Blue,32549,3,$700.00 
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Ssamsung,Blue,54738,4,$700.00 
Nokia,White,60000,4,$625.00 
Motorolla,White,31600,4,$970.00 
Nokia,White,150043,4,$400.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Ssamsung,Blue,54738,4,$700.00 
Nokia,White,60000,4,$625.00 
Motorolla,White,31600,4,$970.00 
Nokia,White,150043,4,$400.00 
Ssamsung,Red,87899,4,$500.00 
Nokia,Blue,32549,3,$700.00 
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Nokia,Blue,32549,3,$700.00 
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Ssamsung,Blue,54738,4,$700.00 
Nokia,White,60000,4,$625.00 
Motorolla,White,31600,4,$970.00 
Nokia,White,150043,4,$400.00 
Ssamsung,Red,87899,4,$500.00 
Nokia,Blue,32549,3,$700.00 
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Ssamsung,Blue,54738,4,$700.00 
Nokia,White,60000,4,$625.00 
Motorolla,White,31600,4,$970.00 
Nokia,White,150043,4,$400.00 
Ssamsung,Red,87899,4,$500.00 
Nokia,Blue,32549,3,$700.00 
Iphone,Black,11179,5,$220.00 
Motorolla,White,213095,4,$350.00 
Nokia,Green,99213,4,$450.00 
Ssamsung,Blue,45698,4,$750.00 
Ssamsung,Blue,54738,4,$700.00 
Nokia,White,60000,4,$625.00 
Motorolla,White,31600,4,$970.00 
